kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,indirim_orani_%,url
Ödüllü Kitaplar,Bahçıvan Köstebek ve Uçan Karınca Kıvırcık,Altın Kitaplar,252.0,189.0,25.0,https://www.idefix.com/bahcivan-kostebek-ve-ucan-karinca-kivircik-p-227983#sortId=227983
Ödüllü Kitaplar,Everest Yayınları Son Bakış,Everest Yayınları,250.99,188.24,25.0,https://www.idefix.com/everest-yayinlari-son-bakis-p-270003#sortId=270003
Ödüllü Kitaplar,Yalnız,Doğan Kitap,352.8,264.6,25.0,https://www.idefix.com/yalniz-p-297622#sortId=297622
Ödüllü Kitaplar,Haddini Aş! - Çünkü Çok Daha Fazlasına Layıksın!,Elma Yayınevi,124.89,118.65,5.0,https://www.idefix.com/haddini-as-cunku-cok-daha-fazlasina-layiksin-p-298690#sortId=298690
Ödüllü Kitaplar,Tebrikler Kovuldunuz,İnkılap Kitabevi Yayınevi,357.84,268.38,25.0,https://www.idefix.com/tebrikler-kovuldunuz-p-282095#sortId=282095
Ödüllü Kitaplar,Masalcı,Can Yayınları,390.0,292.5,25.0,https://www.idefix.com/masalci-p-419264#sortId=419264
Ödüllü Kitaplar,Dünya Sakin Bir Yermiş Gibi,Ayrıkotu Yayınları,201.6,151.2,25.0,https://www.idefix.com/dunya-sakin-bir-yermis-gibi-p-686038#sortId=686038
Öne Çıkan Kitaplar,Zaman Polisi 2: Zor Zamanlar,Theseus Yayınevi,379.01,99.0,73.9,https://www.idefix.com/zaman-polisi-2-zor-zamanlar-p-341074#sortId=341074
Öne Çıkan Kitaplar,Komedi Komedi Komedi Dram,Holden,302.4,226.8,25.0,https://www.idefix.com/komedi-komedi-komedi-dram-p-330296#sortId=330296
Öne Çıkan Kitaplar,The Crown - 2. Elizabeth Winston Churchill ve Genç Bir Kraliçenin Yaratılışı 1947-1955,Doğan Kitap,756.0,567.0,25.0,https://www.idefix.com/the-crown-2-elizabeth-winston-churchill-ve-genc-bir-kralicenin-yaratilisi-1947-1955-p-319954#sortId=319954
Öne Çıkan Kitaplar,Gün Işığının Tadı,Yan Pasaj,262.08,196.56,25.0,https://www.idefix.com/gun-isiginin-tadi-p-336293#sortId=336293
Öne Çıkan Kitaplar,Yapay Zekayı Yeniden Tasarlamak: Otomasyon Çağında İş Demokrasi ve Adalet,Efil Yayınevi Yayınları,346.0,335.62,3.0,https://www.idefix.com/yapay-zekayi-yeniden-tasarlamak-otomasyon-caginda-is-demokrasi-ve-adalet-p-331467#sortId=331467
Öne Çıkan Kitaplar,Seninle Başlamadı,Sola Unitas,520.2,504.59,3.0,https://www.idefix.com/seninle-baslamadi-p-353391#sortId=353391
