kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,url
Öne Çıkan Kitaplar,Efil Yayınevi YayınlarıYapay Zekayı Yeniden Tasarlamak: Otomasyon Çağında İş Demokrasi ve Adalet - Efil Yayınevi Yayınları,Efil Yayınevi Yayınları,346.0,335.62,https://www.idefix.com/yapay-zekayi-yeniden-tasarlamak-otomasyon-caginda-is-demokrasi-ve-adalet-p-331467#sortId=331467
Öne Çıkan Kitaplar,Sola UnitasSeninle Başlamadı - Sola Unitas,Sola Unitas,520.2,504.59,https://www.idefix.com/seninle-baslamadi-p-353391#sortId=353391
Öne Çıkan Kitaplar,Nemesis Kitap YayıneviBi Sor Seni Neden Seçtim - Nemesis Kitap Yayınevi,Nemesis Kitap Yayınevi,257.04,192.78,https://www.idefix.com/bi-sor-seni-neden-sectim-p-325057#sortId=325057
Öne Çıkan Kitaplar,Pinhan YayıncılıkBir Terapistin Arka Bahçesi - Pinhan Yayıncılık,Pinhan Yayıncılık,280.1,271.7,https://www.idefix.com/bir-terapistin-arka-bahcesi-p-325607#sortId=325607
Öne Çıkan Kitaplar,Mabbels X TerasHarry Potter Film Dehlizi 1 - Orman Göl ve Gök Yaratıkları - Mabbels X Teras,Mabbels X Teras,48.9,46.45,https://www.idefix.com/harry-potter-film-dehlizi-1-orman-gol-ve-gok-yaratiklari-p-326729#sortId=326729
Öne Çıkan Kitaplar,İndigo Kitap YayıneviEnkaz Altındakiler - İndigo Kitap Yayınevi,İndigo Kitap Yayınevi,285.68,277.11,https://www.idefix.com/enkaz-altindakiler-p-328077#sortId=328077
Öne Çıkan Kitaplar,Doğan Kitap40 Günde Yeni Sen - Doğan Kitap,Doğan Kitap,282.24,211.68,https://www.idefix.com/40-gunde-yeni-sen-p-332526#sortId=332526
Öne Çıkan Kitaplar,HayykitapHayykitap Çeyiz - Hayykitap,Hayykitap,230.0,218.5,https://www.idefix.com/hayykitap-ceyiz-p-338724#sortId=338724
Öne Çıkan Kitaplar,Profil Kitap YayıneviÖlüm ve Ölme Üzerine - 50.Yıl Edisyonu - Profil Kitap Yayınevi,Profil Kitap Yayınevi,534.24,400.68,https://www.idefix.com/olum-ve-olme-uzerine-50yil-edisyonu-p-374823#sortId=374823
Öne Çıkan Kitaplar,Akılçelen KitaplarŞafakparesi - Fırtınaışığı Arşivi'nden - Akılçelen Kitaplar,Akılçelen Kitaplar,260.5,252.68,https://www.idefix.com/safakparesi-firtinaisigi-arsivinden-p-332949#sortId=332949
